[3, 2, 7, 0, 4, 9, 2, 6, 8, 3]
[2, 3, 7, 0, 4, 9, 2, 6, 8, 3]
[2, 3, 0, 7, 4, 9, 2, 6, 8, 3]
[2, 3, 0, 4, 7, 9, 2, 6, 8, 3]
[2, 3, 0, 4, 7, 2, 9, 6, 8, 3]
[2, 3, 0, 4, 7, 2, 6, 9, 8, 3]
[2, 3, 0, 4, 7, 2, 6, 8, 9, 3]
[2, 3, 0, 4, 7, 2, 6, 8, 3, 9]
[2, 0, 3, 4, 7, 2, 6, 8, 3, 9]
[2, 0, 3, 4, 2, 7, 6, 8, 3, 9]
[2, 0, 3, 4, 2, 6, 7, 8, 3, 9]
[2, 0, 3, 4, 2, 6, 7, 3, 8, 9]
[0, 2, 3, 4, 2, 6, 7, 3, 8, 9]
[0, 2, 3, 2, 4, 6, 7, 3, 8, 9]
[0, 2, 3, 2, 4, 6, 3, 7, 8, 9]
[0, 2, 2, 3, 4, 6, 3, 7, 8, 9]
[0, 2, 2, 3, 4, 3, 6, 7, 8, 9]
[0, 2, 2, 3, 3, 4, 6, 7, 8, 9]
